"(I,J,L)",theta,sd,y,#O,z,#A,obj,time_cost
"(6, 3, 3)",0.5,0,"[1.0, 0.0, 1.0]",2.0,"[[0.0, 0.0, 1.0], [0.0, 0.0, 0.0], [1.0, 1.0, 0.0]]",3.0,1304.6640339418548,4.5644
"(6, 3, 3)",0.5,1,"[1.0, 0.0, 1.0]",2.0,"[[0.0, 1.0, 0.0], [0.0, 0.0, 0.0], [1.0, 0.0, 1.0]]",3.0,1154.0618606287578,6.5421
"(6, 3, 3)",0.5,2,"[1.0, 0.0, 1.0]",2.0,"[[0.0, 1.0, 0.0], [0.0, 0.0, 0.0], [1.0, 0.0, 1.0]]",3.0,1090.7670280512305,5.5927
"(6, 3, 3)",0.5,3,"[1.0, 0.0, 1.0]",2.0,"[[0.0, 1.0, 0.0], [0.0, 0.0, 0.0], [1.0, 0.0, 1.0]]",3.0,1168.4742581789378,6.9822
"(6, 3, 3)",0.5,4,"[1.0, 0.0, 1.0]",2.0,"[[1.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 1.0, 1.0]]",3.0,1173.4803141306825,6.0021
"(6, 3, 3)",0.5,5,"[1.0, 0.0, 1.0]",2.0,"[[1.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 1.0, 1.0]]",3.0,1204.540015437728,6.245
"(6, 3, 3)",0.5,6,"[1.0, 0.0, 1.0]",2.0,"[[0.0, 1.0, 0.0], [0.0, 0.0, 0.0], [1.0, 0.0, 1.0]]",3.0,1183.1186998569287,6.3229
"(6, 3, 3)",0.5,7,"[1.0, 0.0, 1.0]",2.0,"[[0.0, 0.0, 1.0], [0.0, 0.0, 0.0], [1.0, 1.0, 0.0]]",3.0,1203.6420031963462,5.9559
"(6, 3, 3)",0.5,8,"[1.0, 0.0, 1.0]",2.0,"[[0.0, 0.0, 1.0], [0.0, 0.0, 0.0], [1.0, 1.0, 0.0]]",3.0,1167.1274123442074,6.6612
"(6, 3, 3)",0.5,9,"[1.0, 0.0, 1.0]",2.0,"[[1.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 1.0, 1.0]]",3.0,1123.023961219769,5.9521
